parameter,ABIE.LAS,POPU.TRE,PICE.GLA,PSEU.MEN,TSUG.HET,PINU.CON,PINU.PON,THUJ.PLI,PICE.ENG,LARI.OCC,PICE.MAR.old,PICE.MAR
aFracDiffu,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
aH,30.91,0,0.0798,0,0,0,0,0,0.0798,3.663,0.0798,0.0798
aHL,24.93,0,0,0,0,0,0,0,0,27.97,0,0
aK,0.83,0,0,0,0,0,0,0,0,0.66,0,0
alphaCx,0.05,0.067,0.06,0.0653,0.055,0.04,0.04,0.055,0.055,0.067,0.02,0.03
aV,0.000128,0,0.0144,0,0,0,0,0,0.0144,4.70E-05,0.0144,0.0144
aWS,0.082,0.081,0.0066,0.0843,0.0619,0.0073,0.004666,0.0843,0.0066,0.016,0.0066,0.1084
bFracRubi,27,27,27,27,27,27,27,27,27,27,27,27
BLcond,0.2,0.05,0.2,0.2,0.2,0.2,0.14,0.2,0.2,0.2,0.2,0.2
CoeffCond,0.0889,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
crownshape,3,3,3,3,3,3,3,3,3,3,3,3
cVPD,5,5,5,5,5,5,5,5,5,5,5,5
D13CTissueDif,2,2,2,2,2,2,2,2,2,2,2,2
fCalpha700,1.1877,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.1891,1.4,1.4
fCg700,0.7116,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7697,0.7,0.7
fN0,0.6,0.26,0.6,1,1,1,1,1,0.6,0.6,0.6,0.5
fNn,1,1,1,0.5,0.5,1,0.5,0.5,1,1,1,0.5
fracBB0,0,0.64,0,0.75,0.75,0.15,0.75,0.75,0,0,0,0.75
fracBB1,0,0.24,0,0.15,0.15,0.15,0.15,0.15,0,0,0,0.15
fullCanAge,3,5,15,3,3,3,3,3,18,3,18,18
gammaF0,0.001,0.083,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.001,0.001
gammaF1,0.0041,0.1,0.01888,0.02,0.02,0.015,0.021,0.03,0.0104,0.057,0.0104,0.0104
gammaN0,0,3.5,0,0,0,0,0,0,0,0,0,0
gammaN1,0,0,0,0,0,0,0,0,0,3,0,0
gammaR,0.0275,0.02,0.009,0.2,0.2,0.015,0.04,0.015,0.009,0,0.009,0.009
gDM_mol,24,24,24,24,24,24,24,24,24,24,24,24
k,0.6024,0.779,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6279,0.5,0.5
kF,1,0.64,1,1,1,0.33,1,1,1,1,1,1
LAIgcx,3.33,2.6,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33
LAImaxIntcptn,3,7.3,5,5,5,5,5,5,5,3,5,5
leaffall,0,0,0,0,0,0,0,0,0,10,0,0
leafgrow,0,0,0,0,0,0,0,0,0,6,0,0
m0,0,1,0,0.015,0.015,0,0.015,0.015,0,0,0,0.15
MaxAge,300,150,150,400,400,150,400,400,150,160,150,250
MaxCond,0.017,0.02,0.02,0.01,0.01,0.012,0.02,0.01,0.02,0.02,0.02,0.02
MaxIntcptn,0.3381,0.24,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
mF,0.492,0,0.5,0,0,0,0,0,0,0,0,0
MinCond,0,0,0,0,0,0,0,0,0,0,0,
molPAR_MJ,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
mR,0.446,0.2,0,0.2,0.2,0.2,0.2,0.2,0,0.2,0,0.2
mS,0.444,0.2,0,0.2,0.2,0.2,0.2,0.2,0,0.2,0,0.2
nAge,4,4,4,4,4,4,4,4,4,4,4,4
ngammaN,1,1,1,1,1,1,1,1,1,1,1,1
nHB,16.78,0,0.924,0,0,0,0,0,0.924,0.505,0.924,0.924
nHC,0.00925,0,0,0,0,0,0,0,0,0,0,0
nHLB,25.09,0,0,0,0,0,0,0,0,28.73,0,0
nHLC,-0.002,0,0,0,0,0,0,0,0,-0.002,0,0
nHLL,0,0,0,0,0,0,0,0,0,0,0,0
nHLrh,0,0,0,0,0,0,0,0,0,0,0,0
nKB,0.53,0,0,0,0,0,0,0,0,0.72,0,0
nKC,0,0,0,0,0,0,0,0,0,-0.14,0,0
nKH,0,0,0,0,0,0,0,0,0,0,0,0
nKrh,0,0,0,0,0,0,0,0,0,0.248,0,0
nVB,1.92,0,0,0,0,0,0,0,0,1.53,0,2.543
nVBH,0,0,0,0,0,0,0,0,0,0,0,0
nVH,0.75,0,0,0,0,0,0,0,0,1.43,0,0
nWS,2.459,2.46,3.1832,2.4359,2.3821,3.282,2.97,2.4359,3.1832,2.796,3.1832,2.19
pFS2,0.3745,0.71,0.7605,1.3,1.3,1.53,1.2745,1.25,0.7605,0.9,0.7605,0.61
pFS20,0.1084,0.12,0.3283,0.7,0.7,0.55,0.51328,0.75,0.3283,0.5,0.3283,0.22
pRn,0.0946,0.17,0.3,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.25
pRx,0.3714,0.7,0.31,0.8,0.8,0.8,0.8,0.8,0.31,0.8,0.31,0.8
Qa,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,90
Qb,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
rAge,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.8,0.95,0.95
RGcGw,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
rhoMax,0.37,0.35,0.45,0.5,0.49,0.5,0.49,0.5,0.45,0.5,0.45,0.5
rhoMin,0.37,0.39,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.5,0.45,0.45
SLA0,12.32,20,5,6,6,3.1,4.2,6,4,15,4,4
SLA1,4.6,10,5,4,6.04,3.1,4.2,6,4,8.026,4,4
SWconst,0.7,0.7,0.55,0.7,0.7,0.7,0.7,0.7,0.55,0.7,0.55,0.7
SWpower,9,9,6,9,9,9,9,9,6,9,6,9
tBB,0,3,0,2,2,2,2,2,0,0,0,2
tgammaF,60,18,0,36,36,120,36,24,0,0,0,36
tgammaN,0,1,0,0,0,0,0,0,0,0,0,0
thinPower,1.9833,1.45,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Tmax,36,30,32,40,40,35,40,35,32,38,32,30
Tmin,-4,2,0,0,0,-8,-2,-2,0,-5,0,-2
Topt,19,15,20,20,20,15,20,18,20,16,20,15
tRho,1,2,4,4,4,4,4,4,4,1,4,4
tSLA,18.1,5,2,5,5,5,2.5,5,2,14.5,2,15
wSx1000,316.1296,500,1000,300,400,300,300,300,1000,70.571,1000,300
Y,0.47,0.43,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.47,0.46
